,International faculty members,International students,Total faculty members,Total students,country,detail_page,name,rank,region,original rank
104,1334.0,8787,3247.0,38143.0,United States,https://www.topuniversities.com/universities/purdue-university,Purdue University,105,North America,105
105,290.0,3379,3621.0,25903.0,South Korea,https://www.topuniversities.com/universities/yonsei-university,Yonsei University,106,Asia,106
106,410.0,4809,1827.0,26081.0,Germany,https://www.topuniversities.com/universities/kit-karlsruhe-institute-technology,"KIT, Karlsruhe Institute of Technology",107,Europe,107
107,324.0,2818,3556.0,23921.0,South Korea,https://www.topuniversities.com/universities/sungkyunkwan-university-skku,Sungkyunkwan University (SKKU),108,Asia,108
108,653.0,2771,3067.0,31754.0,Netherlands,https://www.topuniversities.com/universities/utrecht-university,Utrecht University,109,Europe,109
109,581.0,3488,2324.0,26513.0,Netherlands,https://www.topuniversities.com/universities/leiden-university,Leiden University,110,Europe,109
110,633.0,8114,1729.0,21240.0,Australia,https://www.topuniversities.com/universities/university-adelaide,The University of Adelaide,111,Oceania,109
111,584.0,5198,2567.0,25371.0,Sweden,https://www.topuniversities.com/universities/uppsala-university,Uppsala University,112,Europe,112
112,1137.0,10780,3351.0,27549.0,Netherlands,https://www.topuniversities.com/universities/university-groningen,University of Groningen,113,Europe,113
113,655.0,3476,2755.0,17902.0,Malaysia,https://www.topuniversities.com/universities/universiti-malaya-um,Universiti Malaya (UM),114,Asia,114
114,617.0,2960,2449.0,32495.0,China,https://www.topuniversities.com/universities/nanjing-university,Nanjing University,115,Asia,114
115,206.0,1547,2665.0,15838.0,Japan,https://www.topuniversities.com/universities/nagoya-university,Nagoya University,116,Asia,116
116,966.0,2098,2117.0,8878.0,Denmark,https://www.topuniversities.com/universities/technical-university-denmark,Technical University of Denmark,117,Europe,116
117,549.0,4529,3843.0,34244.0,United States,https://www.topuniversities.com/universities/university-california-davis,"University of California, Davis",118,North America,118
118,602.0,3762,2316.0,26226.0,Denmark,https://www.topuniversities.com/universities/aarhus-university,Aarhus University,119,Europe,119
119,407.0,4805,1966.0,33198.0,Germany,https://www.topuniversities.com/universities/humboldt-universit%C3%A4t-zu-berlin,Humboldt-Universität zu Berlin,120,Europe,120
120,279.0,2086,5582.0,65711.0,Brazil,https://www.topuniversities.com/universities/universidade-de-s%C3%A3o-paulo,Universidade de São Paulo,121,Latin America,121
121,949.0,2173,15073.0,141939.0,Mexico,https://www.topuniversities.com/universities/universidad-nacional-aut%C3%B3noma-de-m%C3%A9xico-unam,Universidad Nacional Autónoma de México  (UNAM),122,Latin America,122
122,210.0,1347,2605.0,17552.0,Japan,https://www.topuniversities.com/universities/hokkaido-university,Hokkaido University,123,Asia,122
123,323.0,3613,2277.0,12695.0,Netherlands,https://www.topuniversities.com/universities/wageningen-university,Wageningen University,124,Europe,124
124,305.0,5735,1375.0,32912.0,Germany,https://www.topuniversities.com/universities/freie-universitaet-berlin,Freie Universitaet Berlin,125,Europe,125
